city,lat,long,population
Yasinia,48.2728,24.3747,8579
Masandra,44.5167,34.1833,8571
Bushtyno,48.0503,23.4894,8562
Nerubaiske,46.5467,30.6306,8558
Kosiv,48.315,25.0953,8522
Lypovets,49.2161,29.0561,8463
Lanivtsi,49.8644,26.0782,8401
Deliatyn,48.5286,24.6236,8386
Vyshkovo,48.0581,23.4164,8288
Ivanivka,48.2325,38.9525,8243
Mala Danylivka,50.0614,36.1675,8228
Bohorodchany,48.8,24.5333,8222
Zavodske,50.4002,33.3908,8180
Novi Sanzhary,49.3354,34.3162,8179
Krasnopillya,50.7732,35.2717,8165
Lysianka,49.2542,30.8207,8161
Manhush,47.05,37.3,8127
Tarutyne,46.1846,29.1495,8125
Kvasyliv,50.5569,26.2675,8117
Yaremche,48.4536,24.5564,8094
Ananiv,47.7225,29.96,8077
Semenivka,52.1772,32.5797,8052
Yasnohirka,48.7725,37.5506,8034
Kushuhum,47.7106,35.2192,8032
Pidvolochysk,49.5311,26.1467,7977
Kozelets,50.9164,31.1147,7968
Lanchyn,48.5475,24.7517,7923
Rohatyn,49.4167,24.6167,7797
Nemishayeve,50.5624,30.0925,7766
Kryve Ozero,47.9333,30.3333,7717
Pivdenne,49.8849,36.0687,7705
Dykanka,49.8222,34.5341,7662
Trostianets,48.512,29.2137,7655
Velykyi Dalnyk,46.4658,30.5583,7655
Khoroshiv,50.6,28.45,7644
Solone,48.2054,34.8686,7628
Vapniarka,48.5333,28.75,7612
Teresva,48,23.6992,7589
Novoselytsia,48.2167,26.2667,7588
Velykyy Bereznyy,48.8922,22.4586,7559
Romaniv,50.1517,27.9392,7558
Artemivsk,48.4403,38.7422,7506
Krasnokutsk,50.0567,35.1492,7455
Tsarychanka,48.9432,34.4748,7415
Mezhova,48.2563,36.7313,7380
Rzhyshchiv,49.9611,31.0436,7359
Borova,50.1733,30.1039,7316
Lymanske,46.6639,29.9708,7249
Shyriaieve,47.3878,30.1911,7238
Rudno,49.8404,23.8747,7213
Poninka,50.1833,27.5333,7189
Isliam-Terek,45.2256,35.2033,7067
Molochansk,47.2038,35.5985,7040
Petropavlivka,48.4549,36.4394,7032
Sharhorod,48.75,28.0833,7029
Sosnytsia,51.5222,32.5017,6983
