city,lat,long,population
Kurman,45.501,34.3011,
Krasnohrad,49.3719,35.4569,
Novovorontsovka,47.4962,33.923,
Oleshky,46.6167,32.7167,
Zboriv,49.6616,25.1469,
Bohuslav,49.5464,30.8741,
Kiliia,45.4503,29.2667,
Peremyshliany,49.67,24.5594,
Turka,49.1544,23.03,
Rozdilna,46.8473,30.0773,
Pidhaitsi,49.2667,25.1333,
Ichki,45.3413,34.9292,
Novoazovsk,47.1167,38.0833,
Kodyma,48.1,29.1167,
Sarata,46.0232,29.6631,
Khorol,49.784,33.2589,
Skole,49.0378,23.5139,
Popilnia,49.9664,29.4433,
Artsyz,45.9833,29.4167,
Tatarbunary,45.8355,29.6147,
Savran,48.13,30.0794,
Holovanivsk,48.38,30.4472,
Putyla,47.9919,25.0908,
Snihurivka,47.0708,32.7997,
Liubashivka,47.8333,30.25,
Rozdolne,45.7702,33.4909,
Ruzhyn,49.7217,29.2187,
Novomyrhorod,48.7833,31.65,
Reshetylivka,49.5636,34.0763,
Hlobyne,49.3886,33.2632,
Novoukrainka,48.3156,31.5269,
Pervomaiske,45.7169,33.8608,
Novyi Buh,47.6833,32.5,
Varash,51.34,25.8508,
Orzhytsia,49.791,32.7015,
Nikolske,47.2019,37.3128,
Nova Odesa,47.3167,31.7833,
Velyka Bahachka,49.7944,33.7207,
Oleksandrivka,48.9667,32.2333,
Yedy-Kuiu,45.2977,35.7748,
Chornomorske,45.5039,32.7062,
Ivanivka,46.9756,30.4697,
Chaplynka,46.3629,33.5302,
Bashtanka,47.4,32.45,
Mashivka,49.4449,34.8758,
Vysokopillia,47.4797,33.53,
Vradiivka,47.8617,30.5931,
Velyka Mykhailivka,47.0783,29.8533,
Arbuzynka,47.9067,31.3131,
Kozelshchyna,49.2155,33.8518,
Petrove,48.3312,33.2682,
Semenivka,49.6017,33.1875,
Novotroitske,46.3559,34.3335,
Novoarkhanhelsk,48.6589,30.8186,
Oleksandriia,48.6667,33.1167,
Vilshanka,48.2322,30.8779,
Domanivka,47.6292,30.9896,
Velyka Oleksandrivka,47.3108,33.2942,
Velyka Lepetykha,47.1639,33.9381,
Bereznehuvate,47.3114,32.8478,
Velyka Bilozerka,47.272,34.6947,
Novoaidar,48.9592,39.0194,
Novhorodka,48.3565,32.6466,
Verkhnii Rohachyk,47.2414,34.36,
Kompaniivka,48.25,32.2,
Yelanets,47.6978,31.8544,
Kazanka,47.8381,32.8261,
Mykolaivka,47.5389,30.7528,
Milove,49.3778,40.1306,
Nyzhni Sirohozy,46.8395,34.376,
Ivanivka,46.71,34.55,
